rfam_id,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
RF00100,3.0,0.7952380952380952,0.898148148148148,0.8424222253918444,0.9328449328449328,0.9722222222222222,0.9518699186991869,0.8423891713351416,0.9516874416173811,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9523809523809523,1.0,0.975609756097561,0.10944769330734246,0.06518518518518512,1.0,0.6666666666666666,100.0,0.6666666666666666,10.0,19.6,22.0,0.0
RF00169,3.0,0.503968253968254,0.5464015151515151,0.5227450980392156,0.9116809116809117,1.0,0.9526143790849674,0.5195627663732358,0.9537583350104133,0.42857142857142855,0.5454545454545454,0.4799999999999999,0.8888888888888888,1.0,0.9411764705882353,0.4298692810457516,0.4366666666666667,1.0,1.0,100.0,0.3333333333333333,81.0,81.0,81.0,0.6666666666666666
RF00094,2.0,0.0,0.0,0.0,0.13043478260869565,0.15029761904761904,0.13927738927738925,-0.008563723686539739,0.13308195978226448,0.0,0.0,0.0,0.13043478260869565,0.15029761904761904,0.13927738927738925,0.13927738927738925,0.13927738927738925,0.0,0.0,100.0,0.0,53.0,69.0,73.0,0.0
RF01988,2.0,0.0,0.0,0.0,0.2928571428571428,0.7,0.41052631578947363,-0.008003919678847156,0.4477350165059071,0.0,0.0,0.0,0.2928571428571428,0.7,0.41052631578947363,0.41052631578947363,0.41052631578947363,0.0,0.0,100.0,0.0,82.5,83.7,84.0,1.0
RF01792,2.0,0.4,0.5,0.4444444444444445,0.4444444444444444,0.5,0.47058823529411764,0.443431725920614,0.4689238828418435,0.4,0.5,0.4444444444444445,0.4444444444444444,0.5,0.47058823529411764,0.026143790849673165,0.026143790849673165,0.5,0.5,90.0,0.5,48.0,84.0,93.0,0.0
RF00310,2.0,0.30193014705882354,0.6798850574712644,0.4179644658916429,0.34880514705882354,0.7798850574712644,0.48179425312568547,0.45187355933757745,0.5204962096266157,0.30193014705882354,0.6798850574712644,0.4179644658916429,0.34880514705882354,0.7798850574712644,0.48179425312568547,0.06382978723404259,0.06382978723404259,0.0,0.0,100.0,0.5,15.0,26.2,29.0,0.0
RF02477,2.0,0.33995502248875564,0.5900000000000001,0.43092598142043753,0.40700483091787437,0.6177777777777778,0.48635019996522344,0.44618067158210484,0.4978640776927352,0.33995502248875564,0.5900000000000001,0.43092598142043753,0.40700483091787437,0.6177777777777778,0.48635019996522344,0.05542421854478588,0.05542421854478588,0.0,0.0,100.0,0.5,36.0,64.0,71.0,0.0
RF01807,2.0,0.3718449128285194,0.4280701754385965,0.39733013349332535,0.5050219711236661,0.5343859649122807,0.5192307692307692,0.3966921760282743,0.5179744559972703,0.3718449128285194,0.4280701754385965,0.39733013349332535,0.5050219711236661,0.5343859649122807,0.5192307692307692,0.12190063573744389,0.12190063573744389,0.0,0.0,100.0,0.0,74.5,89.3,93.0,0.0
RF01854,2.0,0.3197308132875143,0.47294832826747724,0.37059859154929575,0.4979166666666667,0.5799392097264437,0.5206541490006057,0.38043244564485773,0.5279710992623374,0.3197308132875143,0.47294832826747724,0.37059859154929575,0.4979166666666667,0.5799392097264437,0.5206541490006057,0.15005555745130994,0.15005555745130994,0.0,0.0,100.0,0.0,40.0,50.4,53.0,0.0
RF03045,2.0,0.2857142857142857,0.29166666666666663,0.28717948717948716,0.5277777777777778,0.6458333333333333,0.5798319327731093,0.2826335902845431,0.5799118321495355,0.2857142857142857,0.29166666666666663,0.28717948717948716,0.5277777777777778,0.6458333333333333,0.5798319327731093,0.29265244559362213,0.29265244559362213,0.0,0.0,100.0,0.5,50.5,89.3,99.0,0.5
