truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,top1_f1,top100_f1,delta_f1
76,18,5,0.23684210526315788,0.7906976744186047,0.8947368421052632,0.10403916768665844
54,17,8,0.3148148148148148,0.13333333333333333,0.5142857142857143,0.38095238095238104
44,10,5,0.22727272727272727,0.9523809523809523,0.9523809523809523,0.0
91,29,0,0.31868131868131866,0.6666666666666667,0.912280701754386,0.24561403508771928
77,18,0,0.23376623376623376,0.8571428571428571,0.972972972972973,0.11583011583011593
73,18,5,0.2465753424657534,0.6521739130434783,0.8108108108108109,0.15863689776733259
133,39,10,0.2932330827067669,0.725,0.7594936708860761,0.03449367088607613
76,16,2,0.21052631578947367,0.7317073170731707,0.8108108108108109,0.07910349373764014
76,5,0,0.06578947368421052,0.37037037037037035,0.4210526315789473,0.05068226120857694
75,5,0,0.06666666666666667,0.4,0.4347826086956522,0.034782608695652195
35,10,5,0.2857142857142857,0.8,0.8695652173913044,0.06956521739130439
61,10,0,0.16393442622950818,0.6,0.6923076923076923,0.09230769230769231
77,16,0,0.2077922077922078,0.4864864864864864,0.7999999999999999,0.31351351351351353
77,10,5,0.12987012987012986,0.5294117647058825,0.6206896551724138,0.09127789046653134
100,21,0,0.21,0.19607843137254902,0.36000000000000004,0.16392156862745103
105,35,9,0.3333333333333333,0.3661971830985915,0.5846153846153846,0.21841820151679314
76,15,0,0.19736842105263158,0.7499999999999999,0.8571428571428571,0.1071428571428572
76,19,4,0.25,0.8181818181818181,0.9,0.0818181818181819
87,5,0,0.05747126436781609,0.26666666666666666,0.3076923076923077,0.041025641025641046
75,10,0,0.13333333333333333,0.5,0.7142857142857143,0.2142857142857143
76,7,0,0.09210526315789473,0.45161290322580644,0.56,0.10838709677419361
83,10,0,0.12048192771084337,0.5555555555555556,0.6666666666666666,0.11111111111111105
68,16,0,0.23529411764705882,0.7567567567567567,0.888888888888889,0.13213213213213226
33,8,0,0.24242424242424243,0.8421052631578948,1.0,0.1578947368421052
96,26,0,0.2708333333333333,0.6896551724137931,0.9285714285714286,0.23891625615763545
73,22,9,0.3013698630136986,0.888888888888889,0.8936170212765958,0.004728132387706863
64,19,0,0.296875,0.9047619047619047,1.0,0.09523809523809534
107,36,0,0.3364485981308411,0.8571428571428571,0.8985507246376813,0.04140786749482417
83,25,3,0.30120481927710846,0.6511627906976745,0.8936170212765958,0.24245423057892135
74,19,5,0.25675675675675674,0.7659574468085106,0.8780487804878049,0.11209133367929425
60,18,5,0.3,0.6153846153846153,0.9411764705882353,0.32579185520362
72,21,5,0.2916666666666667,0.6382978723404256,0.7317073170731706,0.09340944473274504
73,18,11,0.2465753424657534,0.8947368421052632,0.8947368421052632,0.0
257,77,12,0.29961089494163423,0.22222222222222224,0.36231884057971014,0.1400966183574879
